example_id                                                                             | status | run_time        |
./spec/graphql/queries/customer_search_spec.rb[1:5:1]                                  | passed | 0.54188 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:5:2]                                  | passed | 0.54178 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:6:1]                                  | passed | 0.53034 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:6:2]                                  | passed | 0.52828 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:7:1]                                  | passed | 1.93 seconds    |
./spec/graphql/queries/customer_search_spec.rb[1:7:2]                                  | passed | 1.92 seconds    |
./spec/graphql/queries/customer_search_spec.rb[1:7:3]                                  | passed | 1.92 seconds    |
./spec/jobs/generate_daily_tee_sheet_job_spec.rb[1:1:1]                                | failed | 0.00185 seconds |
./spec/jobs/generate_daily_tee_sheet_job_spec.rb[1:1:2]                                | failed | 0.25284 seconds |
./spec/jobs/generate_daily_tee_sheet_job_spec.rb[1:1:3]                                | passed | 0.24914 seconds |
./spec/jobs/generate_daily_tee_sheet_job_spec.rb[1:1:4]                                | passed | 0.00218 seconds |
./spec/jobs/process_stripe_webhook_job_spec.rb[1:1:1:1]                                | passed | 0.00084 seconds |
./spec/jobs/process_stripe_webhook_job_spec.rb[1:1:1:2]                                | passed | 0.00095 seconds |
./spec/jobs/process_stripe_webhook_job_spec.rb[1:1:2:1]                                | passed | 0.00087 seconds |
./spec/jobs/process_stripe_webhook_job_spec.rb[1:1:2:2]                                | passed | 0.00091 seconds |
./spec/jobs/process_stripe_webhook_job_spec.rb[1:1:3:1]                                | passed | 0.00071 seconds |
./spec/jobs/process_stripe_webhook_job_spec.rb[1:1:3:2]                                | passed | 0.00084 seconds |
./spec/jobs/send_reminder_job_spec.rb[1:1:1:1]                                         | passed | 0.00245 seconds |
./spec/jobs/send_reminder_job_spec.rb[1:1:2:1]                                         | passed | 0.18713 seconds |
./spec/jobs/send_reminder_job_spec.rb[1:1:2:2]                                         | passed | 0.2994 seconds  |
./spec/jobs/send_reminder_job_spec.rb[1:1:2:3]                                         | passed | 0.18576 seconds |
./spec/jobs/send_reminder_job_spec.rb[1:1:2:4]                                         | passed | 0.00108 seconds |
./spec/jobs/send_reminder_job_spec.rb[1:2]                                             | passed | 0.00153 seconds |
./spec/jobs/send_sms_job_spec.rb[1:1]                                                  | passed | 0.353 seconds   |
./spec/jobs/send_sms_job_spec.rb[1:2]                                                  | passed | 0.35146 seconds |
./spec/jobs/transcribe_recording_job_spec.rb[1:1:1:1]                                  | passed | 0.00304 seconds |
./spec/jobs/transcribe_recording_job_spec.rb[1:1:1:2]                                  | failed | 0.00302 seconds |
./spec/jobs/transcribe_recording_job_spec.rb[1:1:2:1]                                  | failed | 0.00323 seconds |
./spec/jobs/transcribe_recording_job_spec.rb[1:1:3:1]                                  | failed | 0.00106 seconds |
./spec/jobs/transcribe_recording_job_spec.rb[1:1:4:1]                                  | failed | 0.00402 seconds |
./spec/jobs/transcribe_recording_job_spec.rb[1:2:1]                                    | failed | 0.001 seconds   |
./spec/jobs/transcribe_recording_job_spec.rb[1:2:2]                                    | passed | 0.00073 seconds |
./spec/jobs/transcribe_recording_job_spec.rb[1:3:1]                                    | passed | 0.00448 seconds |
./spec/jobs/webhook_delivery_job_spec.rb[1:1:1:1]                                      | failed | 0.00081 seconds |
